address,lat,long
1506 Versailles Avenue and Coursin Street Mckeesport,40.346730,-79.855880
13500 block of Cerise Avenue Hawthorne,33.9090354,-118.3349794
1776 East 28th Street Lorain,41.445207,-82.1399313
16000 block of East Ithaca Place Aurora,-20.1001924,57.5646011
307 Mourning Dove Terrace Greensboro,36.113486,-79.9590773
6000 block of South Owasso Tulsa,36.0770562,-95.9791156
2806 Long Lane Albuquerque,34.976736,-106.7192076
LaSalle Street and Martin Luther King Jr. Boulevard New Orleans,-20.1001924,57.5646011
1100 block of Breton Drive Brentwood,37.9657906,-121.7206582
1500 block of W. Fayette St. Baltimore,39.2898984,-76.6433922
1501 Dodds Ave Chattanooga,35.0221216,-85.2721929
W Florissant Ave and Riverview Blvd Saint Louis,38.7068232,-90.2516747
1000 block of Flat Town Road Charenton,-20.1001924,57.5646011
2403 Benning Road Northeast Washington,38.8979091,-76.9742186
601 West Main Street Springfield,39.9251006,-83.8234122
2514 Mount Moriah Memphis,35.0807003,-89.8901556
5800 block of Poplar Avenue Yuba (county),-20.1001924,57.5646011
2500 block of East 75th Street Chicago,41.7592036,-87.5647872
400 block of Bourbon Street New Orleans,29.956303,-90.0697765
800 block of Humboldt Street Vallejo,38.1072579,-122.2302404
500 North King Street Wilmington,39.740695,-75.5507765
8286 Adams Street and 450 West Street Midvale,-20.1001924,57.5646011
Katella Avenue Orange (county),33.8028389,-118.0084853
1200 block of North 89th East Avenue Tulsa,36.172215,-95.8799334
1447 Grandville Ave. SW Grand Rapids,42.9368768,-85.6878362
43145 Business Center Parkway Lancaster,34.6673486,-118.1325569
2800 block of Mercer University Drive Macon,32.8260332,-83.6726337
7000 block of Burlingame Boulevard Shreveport,32.4419776,-93.7747758
224 Second Street Northwest Moultrie,31.1826446,-83.7932006
4030 Dixie Hwy Saginaw (county),43.3953316,-83.9113888
800 block of La Mesa Lane Los Banos,37.0856582,-120.8305531
1800 block of Edinburge Square Indianapolis,39.7921065,-86.0351809
2900 block of Greenwood Avenue Jackson,32.2647461,-90.2163389
9331 Hillcrest Rd Kansas City,38.9549688,-94.5232614
1200 North Capitol Street Washington,38.9061745,-77.0121504
504 Calle Montecito Oceanside,33.2509318,-117.309611
17 W Main St Mohawk,-20.1001924,57.5646011
1400 block of Western Way Modesto,37.6260465,-121.0128296
Dover Drive Galt,38.243638,-121.3138347
1800 block of East Sonora Street Stockton,37.9531453,-121.2686506
Northwest 16th Street and Northwest Avenue L Belle Glade,26.696842,-80.6794116
West 87th Street and Ashland Avenue Chicago,41.7358412,-87.6651775
4900 block of Brookside Blvd Kansas City,39.0382914,-94.5872631
2703 W. 33rd Street Brooklyn,40.5798532,-74.0024083
9200 block of Westside Boulevard Merced (county),37.3616603,-120.6568033
2802 Auburn Way North Auburn,47.3321092,-122.222944
Tabor Street Greenwood,34.1862022,-82.1655854
900 Garden Way New York (Manhattan),-20.1001924,57.5646011
300 block of East Home Street Long Beach,33.8479509,-118.1919466
Somerset Street and Lee Street Philadelphia,39.992405,-75.132212
1800 block of Mini Drive Vallejo,38.1520878,-122.263096
12400 North 25th Avenue Phoenix,33.5984879,-112.115012
750 East New Circle Rd Lexington,38.0468785,-84.4577683
Kimlyn Circle Akron,41.1102037,-81.4792708
33300 block of 18th Lane South Federal Way,47.3030555,-122.3126192
5700 block of South Lowe Avenue Chicago (Englewood),41.7906013,-87.6438741
2300 block of Lapalco Boulevard Harvey,29.8736887,-90.0590216
East Street Manchester,-20.1001924,57.5646011
500 block of West College Street Oberlin,41.2925297,-82.2368553
County Road 318 Williston,29.4106809,-82.1788528
William Reynolds Drive Charlotte,35.2479199,-80.7281704
Rose and Upland Street Chester,-20.1001924,57.5646011
438 East Main Street Jackson,35.6139531,-88.8168956
600 block of Cokesbury Ave Baltimore,39.316737,-76.6106865
804 S. 16th St Newark,40.7273355,-74.2134033
150 South Equity Drive Smithfield,35.5075746,-78.3237772
Bay Road and University Avenue Palo Alto,37.4558334,-122.1533435
Horner and Messenger streets Johnstown,-20.1001924,57.5646011
1600 block of West 205th Street Los Angeles,33.8447623,-118.308826
E Main Cross St Columbus,-20.1001924,57.5646011
21st Street and Medary Avenue Philadelphia,-20.1001924,57.5646011
Fremont Street Jersey City,40.7198175,-74.0618824
3600 block of East Apache Trail Apache Junction,33.4474019,-111.5051004
Frenchmen Street New Orleans,29.9641516,-90.0599871
Kings Run Road Cincinnati,39.1786758,-84.5144111
Delaware Ave Delanco,40.0523893,-74.9595747
9000 block of Carlin Detroit,-20.1001924,57.5646011
2600 block of Daggett Street Philadelphia,39.9203719,-75.2317333
Sutphin Blvd and Rockaway Blvd Jamaica,40.6904051,-73.7993438
2073 Pleasant Oak Rd Victoria,-20.1001924,57.5646011
2281 Ketchum Rd Memphis,35.0788046,-89.9902766
5200 block of West Iowa Street Chicago,41.896748,-87.7578335
1034 Main Street Bean Station,-20.1001924,57.5646011
3700 block of Columbus Street Bakersfield,35.399771,-118.9544392
1100 block of Paterson Flint,-20.1001924,57.5646011
1900 block of Coliseum Drive Hampton,37.0377287,-76.388075
2850 Brewer Avenue Memphis,35.0846238,-89.9698949
1000 block of Fair Street Atlanta,33.7488845,-84.4226928
4126 N Teutonia Ave Milwaukee,43.0920356,-87.9420147
1st block of Linfield Drive Vallejo,-20.1001924,57.5646011
1913 East 46th Street Indianapolis,39.8400038,-86.1306957
4000 block of Roebling Lane Virginia Beach,36.8457805,-76.1196592
Union Street Lagrange,-20.1001924,57.5646011
2036 Yorkshire Ave Santa Monica,34.0260805,-118.4636967
600 block of West Princess Street York,39.9547432,-76.7439458
4700 block of Highland Ave Saint Louis,38.6646802,-90.2527326
5700 block of South Sangamon Street Chicago,41.7904067,-87.6511762
2201 Little Avenue High Point,35.9687821,-79.9809275
256 Hartford Ave Providence,41.8171919,-71.4539938
135 Brinkhaven Ave Nashville,36.2497825,-86.7194366
9780 Bissonnet Houston,29.6763092,-95.5516809
900block of East 79th Street Chicago,-20.1001924,57.5646011
2900 block of North Kilpatrick Avenue Chicago,41.9335217,-87.7466809
1225 Tidewater Drive Norfolk,36.8577326,-76.2761767
205 Greenville Blvd SW Greenville,35.5739583,-77.390838
700 block of N. Kenwood Avenue Baltimore,39.299162,-76.5804246
55 Curtis Providence,-20.1001924,57.5646011
1501 Dodds Ave Chattanooga,35.0221216,-85.2721929
Sea Drift Way Sacramento,38.4656212,-121.4609201
1917 Prospect Ave Kansas City,39.0887845,-94.553893
5700 block of Wickfield Drive New Orleans,30.0164557,-90.0711597
4600 block of Columbus Street Virginia Beach,36.8410355,-76.138036
1711 Kansas Avenue Kansas City,39.091534,-94.5506833
