date,n_killed,address,lat,long
01/01/2014,0,300 block of Monroe Avenue  Muskegon,43.2305754,-86.2533267
01/01/2014,0,Central Avenue Newark,40.7526813,-74.2117989
01/01/2014,1,113th Avenue Queens,40.703411,-73.7495937
01/01/2014,0,St. Johns Place Brooklyn,40.6715288,-73.9497482
01/01/2014,0,Beverly Hills and Temple Springfield,-20.016542,57.5646115
01/01/2014,0,1327 23rd Street Columbus,32.4850824,-84.9753281
01/01/2014,0,200 block of Ballard Avenue Syracuse,43.0300135,-76.1580865
01/01/2014,0,Kenton and Fourth streets Lexington,-20.016542,57.5646115
01/01/2014,0,10100 block of Shiloh Ct Prince William County,-20.016542,57.5646115
01/01/2014,0,34th Street and Haverford Avenue Philadelphia,39.9640584,-75.1937924
01/01/2014,0,West Queen Street and Stewart Street Hampton,-20.016542,57.5646115
01/01/2014,1,Niagara Street North Charleston,32.8548303,-79.9999253
01/01/2014,0,2100 block of Tucker Lane Baltimore,39.3099505,-76.7038192
01/01/2014,1,1400 block of West 3rd Wilmington,39.74572,-75.5689527
01/01/2014,1, 2846 Unaweep Ave Grand Junction,39.0486725,-108.5276234
01/01/2014,0,Aintree Street North Charleston,-20.016542,57.5646115
01/01/2014,0,Mexican Villa restaurant on South National Avenue  Springfield,-20.016542,57.5646115
01/01/2014,1,2700 block of Bridge Road Huntsville,34.766703,-86.6045257
01/01/2014,1,2300 block of North Prieur Street New Orleans,29.9767963,-90.0571891
01/01/2014,0,2500 S. 3900 W. Hurricane,37.1380787,-113.3044916
01/01/2014,0,3700 block of Trace Cir Fort Wayne,41.0484287,-85.0931549
01/01/2014,1,6100 block of Ray Street Marrero,29.8862452,-90.1108736
01/01/2014,0,13 S Walnut St Pinckneyville,38.0796356,-89.3852911
01/01/2014,0,Soundview Ave Bronx,40.8160422,-73.8627166
01/01/2014,0,205 Tunnel Drive Canon City,38.4339107,-105.2667549
01/01/2014,0,Valentine Ave. Bronx,40.8619176,-73.8982491
01/01/2014,0, 1704 East 4th Street. Lubbock,33.5919177,-101.8199501
01/01/2014,0,1500 block of N. Sherman North Platte,41.1508089,-100.78245
01/01/2014,0,3579 Savannah Highway Johns Island,32.8021775,-80.1107965
01/01/2014,0,Linwood Street Lynn,42.4750759,-70.9718699
01/01/2014,0,Circuit and Deputy Lane Newport News,-20.016542,57.5646115
01/01/2014,0,2600 block of Edison Avenue Fort Myers,26.6335949,-81.8623117
01/01/2014,1,6100 block of Ray St Marrero,29.8862452,-90.1108736
01/01/2014,0,2823 Hunter Creek Road Tuscaloosa,33.2337274,-87.566892
01/01/2014,1,1347 Brumfield Rd SW Bogue Chitto,31.3755874,-90.561852
01/01/2014,0,Blue Jay Drive Clementon,39.7971344,-75.0310126
01/01/2014,0,Highway 301 Olanta,33.9388175,-79.9346914
01/01/2014,0,Beltline from Stoughton Road Janesville,-20.016542,57.5646115
01/01/2014,1,Campground Church Road Crenshaw,-20.016542,57.5646115
01/01/2014,3,92nd and Jefferson Tolleson,-20.016542,57.5646115
01/01/2014,0,957 South Doris St Georgetown,47.5497972,-122.3205296
01/01/2014,0,13416 Southwest 270th Terrace Homestead,25.5155525,-80.4109975
01/01/2014,1,Sun Dew Drive Orlando,28.5064202,-81.1532513
01/01/2014,0,5200 block of Via Alizar Orlando,28.4906894,-81.409833
01/01/2014,1,Sky Lake Circle Orlando,28.4532271,-81.3912043
