date,n_killed,address,lat,long,
01/01/2018,0,100 block of Hewitt St Trenton,40.20816,-74.7476472,
01/01/2018,0,Orton Marotta Way Boston,42.3377959,-71.0567422,
01/01/2018,0,236 Dorchester St Boston,42.3326075,-71.0533171,
01/01/2018,1,5400 block of Crittenden St Oakland,37.7698671,-122.2060807,
01/01/2018,0,Riley St and Roehrer Ave Buffalo,42.9093298,-78.8512981,
01/01/2018,0,Sapphire Dr and Quartz Dr Auburn,38.9479355,-121.1041401,
01/01/2018,0,Colonel Glenn Road Little Rock,34.7191726,-92.355972,
01/01/2018,1,Bell Springs Rd and Alderpoint Rd Garberville,40.1007723,-123.6890076,
01/01/2018,0,1300 block of Princeton Ave Kalamazoo,42.3034255,-85.5909646,
01/01/2018,1,807 W 22nd St Lorain,41.4495019,-82.1773122,
01/01/2018,1,Olympia and Grand River Ave Redford Charter Township,-20.1261056,57.5340544,
01/01/2018,0,636 W Florida Ave Hemet,33.7477865,-116.9800264,
01/01/2018,0,800 block of E State Fair Detroit,42.4397156,-83.0983481,
01/01/2018,1,1524 W 205th St Torrance,33.8445964,-118.3070783,
01/01/2018,0,S Summit Dr and Hwy 54 Holts Summit,-20.1261056,57.5340544,
01/01/2018,0,10900 W Calle del Sol Phoenix,33.4958415,-112.2965832,
01/01/2018,0,Gregg St and Oak St Houston,-20.1261056,57.5340544,
01/01/2018,0,3600 Celtic Dr Indianapolis,39.8229549,-86.005829,
01/01/2018,0,800 N Colorado Ave Indianapolis,39.7775112,-86.0975385,
01/01/2018,0,8100 block of Pines Road Shreveport,32.423726,-93.8603979,
01/01/2018,0,4000 Arquette Dr Indianapolis,39.8305864,-85.9994737,
01/01/2018,0,Coyote Valley Blvd Redwood Valley,39.2547492,-123.2110673,
01/01/2018,0,3200 N Park Ave Indianapolis,39.8140441,-86.1494873,
01/01/2018,1,147 Meadowview Dr Rossville,34.939367,-85.3143247,
01/01/2018,0,121 NE 3rd St Prineville,44.3032491,-120.8488378,
01/01/2018,0,US-1 BYP Portsmouth,43.081538,-70.7696992,
01/01/2018,0,3800 block of Victoria Drive Baton Rouge,30.4854106,-91.1194449,
01/01/2018,0,Kenton Ln Cleveland,-20.1261056,57.5340544,
01/01/2018,0,Oakley Ave and Blaisdell St Rockford,42.2821529,-89.1170262,
01/01/2018,0,Roughan St Revere,42.4005917,-70.9880203,
01/01/2018,1,Byron St Youngstown,41.091829,-80.6254473,
01/01/2018,0,1900 N Western Ave Chicago,41.915888,-87.6899317,
01/01/2018,1,100 block of West Bilby Rd Tucson,32.1412692,-110.9714119,
01/01/2018,2,5900 block of Kennerly Ave Saint Louis,38.6780201,-90.2819157,
01/01/2018,0,215 Patrick Dr Schriever,29.7353271,-90.8414231,
01/01/2018,0,600 N Gibson St Princeton,38.36027,-87.5668288,
01/01/2018,0,1900 block of Pulver Rd Mansfield,40.7081094,-82.4571753,
01/01/2018,0,Baring Cross and W 88th St Los Angeles,33.9579518,-118.2915485,
01/01/2018,1,3400 block of Adeline St Oakland,37.8255183,-122.2825501,
01/01/2018,0,S 32nd St and J St Lincoln,40.8080163,-96.6774167,
01/01/2018,0,N Scott St South Bend,41.6814989,-86.2619447,
01/01/2018,0,4400 Block of Skidaway Rd Savannah,32.0276191,-81.0727952,
01/01/2018,0,2305 Farmer St Charlotte,35.2091955,-80.8971006,
01/01/2018,0,300 block of E 2nd St Pueblo,38.2688587,-104.6061587,
01/01/2018,0,1304 Fort Campbell Blvd Clarksville,36.5595433,-87.4025821,
01/01/2018,1,25 Unit St Providence,41.8261315,-71.4564983,
01/01/2018,0,334 S Water St Providence,41.8207935,-71.4063507,
01/01/2018,0,Carson St Planada,37.2941111,-120.322377,
01/01/2018,0,Washington Blvd Jersey City,40.727351,-74.0368236,
01/01/2018,0,Martin Luther King Dr and Virginia Ave Jersey City,40.7120147,-74.0800745,
01/01/2018,0,N 47th Ave and Miami St Omaha,41.2831451,-95.9865067,
01/01/2018,0,Martin Luther King Dr and Warner Ave Jersey City,40.7012244,-74.0924913,
01/01/2018,2,100 block of Taylor St Orange,-20.1261056,57.5340544,
01/01/2018,0,N 43rd St and Pinkney St Omaha,41.290501,-95.9798054,
01/01/2018,0,49th St N and MLK Jr Blvd Tulsa,36.2242171,-95.9956891,
01/01/2018,0,1000 block of 91st Ave Oakland,37.746133,-122.1823036,
01/01/2018,0,2701 W Jefferson Blvd Fort Wayne,41.0741594,-85.1775445,
01/01/2018,0,145 Summer St New Bedford,41.6405054,-70.9350517,
01/01/2018,1,Market Square Knoxville,35.9655685,-83.921978,
01/01/2018,0,147 4th St Leominster,42.5251923,-71.7520435,
01/01/2018,0,Hudson St Hartford,41.759718,-72.6798331,
01/01/2018,0,63 Dalessio Ct Boston,42.339713,-71.0557155,
01/01/2018,0,2701 23rd Ave Council Bluffs,41.236736,-95.8888581,
01/01/2018,0,1700 block of Fordem Ave Madison,43.0943184,-89.3663881,
01/01/2018,1,1303 W Charles St Grand Island,40.9158165,-98.3522983,
01/01/2018,1,2012 Colerain Ave Cincinnati,39.11907,-84.5347129,
01/01/2018,1,N Gilmore Heights Rd Jacksonville,30.3584934,-81.5545786,
01/01/2018,0,400 block of S 24th St Saint Joseph,39.7642887,-94.8337301,
01/01/2018,0,Hollis Ave Campbell,37.27706,-121.9561496,
01/01/2018,1,870 Osceola Trl Casselberry,28.689762,-81.3221022,
01/01/2018,0,1200 Block of Tallassee Rd Athens,33.9810501,-83.4652669,
